274	1	1
431	1	1
10	2	1
38	2	1
41	2	1
267	2	1
367	2	1
504	2	1
648	2	1
1	3	1
20	3	1
32	3	1
38	3	1
40	3	1
48	3	1
64	3	1
96	3	1
103	3	1
145	3	1
154	3	1
158	3	1
238	3	1
258	3	1
264	3	1
266	3	1
290	3	1
292	3	1
294	3	1
388	3	1
414	3	1
461	3	1
603	3	1
715	3	1
802	3	1
1218	3	1
83	4	1
479	4	1
569	4	1
725	4	1
10	5	1
12	5	1
26	5	1
35	5	1
42	5	1
50	5	1
59	5	1
71	5	1
80	5	1
81	5	1
92	5	1
95	5	1
111	5	1
114	5	1
151	5	1
171	5	1
172	5	1
209	5	1
250	5	1
265	5	1
289	5	1
361	5	1
370	5	1
382	5	1
386	5	1
454	5	1
509	5	1
523	5	1
564	5	1
600	5	1
601	5	1
675	5	1
722	5	1
728	5	1
772	5	1
775	5	1
1164	5	1
17	6	1
18	6	1
22	6	1
98	6	1
104	6	1
265	6	1
289	6	1
356	6	1
365	6	1
398	6	1
424	6	1
459	6	1
71	7	1
5	8	1
19	8	1
27	8	1
107	8	1
153	8	1
159	8	1
289	8	1
323	8	1
374	8	1
396	8	1
412	8	1
420	8	1
467	8	1
659	8	1
915	8	1
26	9	1
94	9	1
106	9	1
118	9	1
141	9	1
173	9	1
187	9	1
260	9	1
331	9	1
609	9	1
809	9	1
64	10	1
171	10	1
406	10	1
490	10	1
27	11	1
33	11	1
34	11	1
44	11	1
67	11	1
83	11	1
91	11	1
93	11	1
169	11	1
171	11	1
197	11	1
235	11	1
260	11	1
266	11	1
267	11	1
292	11	1
293	11	1
339	11	1
407	11	1
419	11	1
430	11	1
511	11	1
586	11	1
694	11	1
701	11	1
909	11	1
936	11	1
114	12	1
115	12	1
169	12	1
233	12	1
248	12	1
265	12	1
339	12	1
485	12	1
565	12	1
1127	12	1
1218	12	1
23	13	1
46	13	1
105	13	1
149	13	1
215	13	1
490	13	1
40	14	1
112	14	1
159	14	1
188	14	1
245	14	1
277	14	1
325	14	1
332	14	1
411	14	1
413	14	1
490	14	1
801	14	1
114	15	1
123	15	1
127	15	1
177	15	1
310	15	1
516	15	1
584	15	1
594	15	1
651	15	1
712	15	1
734	15	1
742	15	1
786	15	1
844	15	1
850	15	1
942	15	1
961	15	1
978	15	1
1002	15	1
1035	15	1
1094	15	1
1110	15	1
1121	15	1
1136	15	1
1173	15	1
1174	15	1
125	16	1
45	17	1
157	18	1
267	18	1
241	19	1
292	19	1
105	20	1
134	20	1
135	20	1
492	20	1
26	22	1
37	22	1
243	22	1
244	22	1
258	22	1
260	22	1
337	22	1
22	23	1
138	23	1
171	23	1
294	23	1
382	23	1
512	23	1
702	23	1
19	24	1
98	24	1
3	25	1
60	25	1
71	25	1
188	25	1
579	25	1
17	26	1
240	26	1
241	26	1
280	26	1
281	26	1
296	26	1
402	26	1
624	26	1
20	27	1
33	27	1
44	27	1
50	27	1
60	27	1
69	27	1
275	27	1
393	27	1
424	27	1
459	27	1
532	27	1
8	28	1
17	28	1
76	28	1
187	28	1
57	30	1
129	30	1
472	30	1
309	31	1
535	31	1
59	32	1
60	32	1
109	32	1
134	32	1
151	32	1
173	32	1
244	32	1
254	32	1
275	32	1
325	32	1
326	32	1
335	32	1
17	33	1
64	33	1
157	33	1
238	33	1
494	33	1
267	34	1
70	35	1
101	35	1
29	36	1
96	36	1
675	36	1
22	37	1
48	37	1
151	37	1
631	37	1
3	38	1
40	38	1
247	38	1
318	38	1
459	38	1
640	38	1
133	39	1
102	40	1
111	40	1
145	40	1
147	40	1
158	40	1
235	40	1
282	40	1
405	40	1
420	40	1
18	41	1
23	41	1
145	41	1
169	41	1
267	41	1
334	41	1
393	41	1
13	42	1
35	42	1
38	42	1
44	42	1
82	42	1
95	42	1
112	42	1
123	42	1
193	42	1
265	42	1
324	42	1
461	42	1
39	43	1
112	43	1
164	43	1
244	43	1
461	43	1
499	43	1
574	43	1
698	43	1
713	43	1
66	44	1
346	44	1
519	44	1
777	44	1
58	45	1
141	45	1
244	45	1
473	45	1
8	46	1
157	46	1
159	46	1
209	46	1
265	46	1
326	46	1
626	46	1
798	46	1
128	47	1
159	47	1
276	47	1
294	47	1
531	47	1
23	48	1
27	48	1
70	48	1
82	48	1
241	48	1
309	48	1
408	48	1
44	49	1
105	49	1
140	49	1
147	49	1
200	49	1
203	49	1
235	49	1
252	49	1
287	49	1
466	49	1
22	50	1
68	50	1
94	50	1
110	50	1
32	51	1
73	51	1
97	51	1
99	51	1
118	51	1
125	51	1
133	51	1
172	51	1
209	51	1
248	51	1
284	51	1
350	51	1
459	51	1
624	51	1
684	51	1
861	51	1
5	53	1
12	53	1
48	53	1
173	53	1
184	53	1
235	53	1
286	53	1
